datebuilt,guardingtower,datepriced,bedroom,royalmarket,bathroom,curse,knighthouse,id1,dining,location,capital,garden,price,blessing,dock,renovation,farmland,builder,holytree,river,kingvisit
1602,14.394903,1609,4.0,69.486467,,0.0,10.505662,1848823488,3.0,0.0,0.256239,0.0,1470912.0,160,138.600639,0.0,1,0.0,1.0,63.109038,0
1600,101.052598,1612,4.0,34.145238,,0.0,37.249456,1848823492,2.0,1.0,26.882222,1.0,1241030.0,133,16.254870999999998,0.0,0,7.0,,53.249336,1
1600,88.480988,1608,,78.44550799999999,2.0,0.0,146.553349,1848823497,3.0,,136.448973,0.0,838723.0,24,6.555428,0.0,1,,1.0,72.245533,0
1603,22.395135999999997,1611,2.0,92.69891700000001,2.0,0.0,29.921162,1848823502,2.0,1.0,19.885265,0.0,1267804.0,140,79.72455,0.0,1,4.0,,8.059939,0
1603,81.449646,1610,2.0,3.605055,2.0,0.0,10.855780000000001,1848823505,3.0,1.0,0.5195069999999999,0.0,1497166.0,159,101.541256,0.0,2,2.0,1.0,35.706540999999994,0
1603,47.180399,1612,2.0,32.236989,4.0,0.0,18.378692,1848823507,,0.0,7.575922,0.0,1428460.0,152,48.601612,0.0,1,2.0,1.0,72.11176800000001,0
1600,77.692256,1607,2.0,88.485147,2.0,0.0,12.389963999999999,1848823509,3.0,2.0,1.95597,0.0,1453568.0,158,32.624227000000005,0.0,2,8.0,1.0,33.929217,0
1603,51.870346000000005,1610,3.0,62.816373,3.0,0.0,26.231919,1848823511,,2.0,15.776747,0.0,1381186.0,144,84.170405,0.0,2,9.0,1.0,27.379252,0
1603,53.019891,1611,3.0,63.794375,3.0,0.0,132.934312,1848823514,4.0,1.0,122.930753,0.0,1052137.0,37,10.998322,0.0,2,0.0,1.0,17.045949,0
1601,89.658984,1607,3.0,23.701329,3.0,0.0,13.188134,1848823517,3.0,2.0,2.8098669999999997,0.0,1473032.0,157,60.265361,,1,1.0,1.0,36.934979999999996,0
1601,12.033816,1609,2.0,5.58977,2.0,0.0,13.151035,1848823519,3.0,2.0,2.738666,0.0,1442065.0,157,11.938817,1.0,1,7.0,,17.666228,0
1601,138.36250900000002,1607,3.0,20.485516,2.0,0.0,10.794902,1848823524,4.0,1.0,0.212412,0.0,1583875.0,160,13.986232000000001,0.0,2,8.0,1.0,78.94806,0
1603,152.377106,1611,3.0,44.068565,4.0,0.0,15.41681,1848823529,2.0,0.0,5.128739,,1430528.0,155,38.977167,0.0,1,,,20.965323,0
1600,48.236596999999996,1611,2.0,,4.0,0.0,96.158416,1848823531,2.0,1.0,85.723029,0.0,957702.0,74,135.36431399999998,0.0,1,,,19.196820000000002,0
1601,,1612,2.0,84.008876,3.0,0.0,35.537406,1848823533,4.0,1.0,24.762207,0.0,1330487.0,135,23.614598,0.0,1,6.0,1.0,7.6993100000000005,0
1602,128.876997,1611,4.0,126.491446,2.0,0.0,34.143765,1848823539,3.0,3.0,23.338276,0.0,1309373.0,137,,0.0,1,8.0,1.0,0.630053,0
1601,20.89483,1611,4.0,44.623490000000004,2.0,1.0,78.519339,1848823545,,3.0,68.371189,0.0,1109247.0,92,35.488288,0.0,1,7.0,0.0,37.27244,0
1603,119.17733700000001,1608,3.0,,4.0,0.0,77.701631,1848823548,4.0,2.0,67.341891,0.0,1185887.0,93,57.719253,0.0,1,9.0,1.0,71.789958,0
1602,62.472761,1612,3.0,16.472091,4.0,0.0,77.473677,1848823550,3.0,1.0,66.593962,0.0,1219965.0,93,43.15605,1.0,1,2.0,1.0,42.888742,0
1603,125.08883300000001,1607,2.0,2.228096,2.0,0.0,62.646237,1848823553,4.0,,52.209955,0.0,1322296.0,108,81.58993000000001,1.0,1,7.0,1.0,10.558469,0
1606,69.096122,1612,4.0,70.848219,4.0,0.0,31.432421,1848823559,4.0,0.0,20.748392000000003,0.0,1468637.0,139,,0.0,1,2.0,,16.919434,0
1603,70.965631,1610,2.0,96.656914,3.0,0.0,91.42535699999999,1848823561,2.0,3.0,80.970959,0.0,1017577.0,79,52.819705000000006,0.0,1,0.0,1.0,6.548119,0
1606,179.275253,1609,3.0,108.357045,3.0,0.0,76.231255,1848823566,2.0,1.0,65.50989100000001,0.0,1150209.0,94,60.198423999999996,0.0,2,6.0,1.0,52.220719,0
1600,117.59748200000001,1609,4.0,115.459079,3.0,0.0,11.402158,1848823568,3.0,3.0,0.531688,0.0,1351400.0,159,31.038515999999998,0.0,1,1.0,1.0,53.012429000000004,0
1605,21.514951999999997,1608,2.0,13.310768,2.0,,81.862921,1848823571,2.0,2.0,70.864401,0.0,1226995.0,89,85.472652,1.0,1,2.0,1.0,3.0798919999999996,0
