House ID,Golden Grains
6e33d031,1126051
6e33d037,1456991
6e33d03d,1563646
6e33d043,1382894
6e33d045,1373242
6e33d049,1319106
6e33d04d,1358845
6e33d051,1143693
6e33d053,1152957
6e33d055,1149932
6e33d05b,1124280
6e33d05f,1130877
6e33d062,1466915
6e33d065,1628287
6e33d067,1402534
6e33d06b,1231150
6e33d071,1460745
6e33d075,1212408
6e33d07a,1368145
6e33d080,1165243
6e33d083,1257706
6e33d089,1305996
6e33d08b,1520717
6e33d08e,1099479
6e33d090,1310978
6e33d095,1472171
6e33d098,1251207
6e33d09a,1127410
6e33d09d,1461720
6e33d0a0,1247132
6e33d0a5,1134028
6e33d0a8,1353999
6e33d0ac,1406238
6e33d0b1,1430368
6e33d0b5,1142880
6e33d0ba,1427181
6e33d0bc,1280539
6e33d0c2,1404764
6e33d0c6,1252343
6e33d0cc,1523603
6e33d0d1,1294780
6e33d0d3,1518939
6e33d0d5,1454222
6e33d0d7,806542
6e33d0dc,1521101
6e33d0e0,1166296
6e33d0e2,1368992
6e33d0e4,1377773
6e33d0e6,1303801
6e33d0ea,1210367
6e33d0ee,1413204
6e33d0f4,1255870
6e33d0f8,1380330
6e33d0fd,1510925
6e33d100,1276900
6e33d103,1241509
6e33d108,1149045
6e33d10b,1497392
6e33d110,1067860
6e33d112,1020450
6e33d117,1547745
6e33d11c,1506814
6e33d122,1188223
6e33d127,1124878
6e33d12c,1275005
6e33d130,1292546
6e33d136,1481909
6e33d13a,1518142
6e33d13e,1401107
6e33d141,1288934
6e33d147,1366759
6e33d14b,1452365
6e33d14e,1031511
6e33d151,956894
6e33d154,1250445
6e33d159,1272804
6e33d15f,1410909
6e33d162,1264773
6e33d168,1339701
6e33d16d,1201514
6e33d16f,1377375
6e33d172,1481634
6e33d175,1259062
6e33d17b,849810
6e33d181,1303182
6e33d184,1337974
6e33d186,1312749
6e33d18b,1467567
6e33d191,1169840
6e33d193,1402064
6e33d197,1483349
6e33d19b,1484575
6e33d19f,1246068
6e33d1a3,1265670
6e33d1a7,1180208
6e33d1ad,1377498
6e33d1b1,1393164
6e33d1b5,1464265
6e33d1b9,1357445
6e33d1bb,1348097
6e33d1bf,1209477
6e33d1c4,1421580
6e33d1c7,1424383
6e33d1cb,1533656
6e33d1cd,1354897
6e33d1d3,1250040
6e33d1d9,1430383
6e33d1dd,1218085
6e33d1e1,1487665
6e33d1e3,1017193
6e33d1e8,1241034
6e33d1ec,1188022
6e33d1f2,1345793
6e33d1f6,1279211
6e33d1fa,1326308
6e33d1ff,1407879
6e33d205,998733
6e33d207,1275116
6e33d209,1556443
6e33d20e,1376929
6e33d210,1209401
6e33d216,1104475
6e33d219,1162951
6e33d21d,1120212
6e33d221,1120107
6e33d227,1321481
6e33d22a,1174655
6e33d22e,1311688
6e33d230,1175061
6e33d234,1421679
6e33d239,972389
6e33d23e,1375689
6e33d241,1204753
6e33d244,1348781
6e33d247,1320117
6e33d24b,1419302
6e33d251,1055783
6e33d253,1305176
6e33d256,1196380
6e33d25c,1294327
6e33d25f,1408037
6e33d262,1193620
6e33d266,1361056
6e33d26b,1423187
6e33d26d,1542768
6e33d26f,1485424
6e33d274,1307296
6e33d278,1217084
6e33d27e,865700
6e33d281,1424061
6e33d286,1369234
6e33d28a,1416675
6e33d28e,1363749
6e33d293,1335411
6e33d298,1541984
6e33d29a,1450769
6e33d29c,1222746
6e33d29e,1172883
6e33d2a1,1436095
6e33d2a5,1076975
6e33d2ab,1265506
6e33d2b1,1269023
6e33d2b6,1638557
6e33d2bc,1303342
6e33d2c0,1363604
6e33d2c4,1081287
6e33d2c6,979639
6e33d2cb,1512244
6e33d2d0,1144593
6e33d2d5,1181441
6e33d2db,1451853
6e33d2e1,1299333
6e33d2e7,937482
6e33d2ea,1050330
6e33d2ec,1324542
6e33d2f2,1280987
6e33d2f4,1495523
6e33d2fa,1229127
6e33d2fe,1248271
6e33d303,1426526
6e33d309,1304591
6e33d30f,1282910
6e33d312,1411061
6e33d314,1230383
6e33d31a,973518
6e33d31e,1174616
6e33d320,1123285
6e33d326,1325782
6e33d329,1458479
6e33d32f,1156307
6e33d333,1522219
6e33d339,1382604
6e33d33e,1426339
6e33d340,1114112
6e33d344,1351361
6e33d34a,1063345
6e33d34f,1384374
6e33d353,1060780
6e33d359,1077355
6e33d35f,1272858
6e33d362,1330696
6e33d366,1533392
6e33d368,1475263
6e33d36e,1534736
6e33d371,1434836
6e33d376,1115009
6e33d37c,1374676
6e33d381,1450598
6e33d383,1369533
6e33d388,1371005
